en,sl
The owner or user intending to establish a pipeline for the transport of crude or refined petroleum and petroleum products and of natural gas must obtain a permit from the local authority before commencing work.,"Lastnik ali uporabnik, ki namerava postaviti cevovod za transport surove ali rafinirane nafte, naftnih proizvodov in zemeljskega plina, mora pred začetkom del pridobiti dovoljenje lokalnih organov."
The number of such permits which are issued may be limited.,Število izdanih dovoljenj je lahko omejeno.
Reservations applicable in Estonia,"Pridržki, ki veljajo v Estoniji"
"Äriseadustik (Commercial Code) § 631 (2), § 385 (1)","Äriseadustik (trgovinski zakonik) § 631 (2), § 385 (1)"
A foreign company shall appoint a director or directors for a branch.,Tuja družba imenuje direktorja ali direktorje podružnice.
A director of a branch must be a natural person with active legal capacity.,Direktor podružnice mora biti fizična oseba s pravno in poslovno sposobnostjo.
"The residence of at least one director of a branch must be in Estonia, in a Member State of the EEA or in the Swiss Confederation.","Vsaj eden od direktorjev podružnice mora imeti stalno prebivališče v Estoniji, državi članici EGP ali Švicarski konfederaciji."
"Advokatuuriseadus (Bar Association Act), RT I 2001, 36, 201","Advokatuuriseadus (zakon o odvetniški zbornici), RT I 2001, 36, 201"
"Notariaadiseadus (Notaries Act), RT I 2000, 104, 684 Kohtutäituri seadus (Bailiffs Act), RT I 2009, 68, 463","Notariaadiseadus (zakon o notariatu), RT I 2000, 104, 684 Kohtutäituri seadus (zakon o sodnih izvršiteljih), RT I 2009, 68, 463"
"Full admission to the Bar is required for the practice of legal services in respect of Estonian law, including representation before courts.","Za opravljanje pravnih storitev na področju estonskega prava, vključno z zastopanjem pred sodišči, se zahteva polno članstvo v odvetniški zbornici."
"For legal services other than advisory services to clients related to their legal rights and obligations and providing information on legal matters, commercial presence is restricted to sole proprietorships or to law firms with limited liability, in which cases permission is needed from the Bar Association (Advokatuur).","Za druge pravne storitve, kot so storitve pravnega svetovanja strankam v zvezi z njihovimi zakonitimi pravicami in obveznostmi ter zagotavljanje informacij o pravnih zadevah, je tržna prisotnost omejena na družbe z enim družbenikom ali odvetniške pisarne z omejeno odgovornostjo, v tem primeru pa je potrebno dovoljenje odvetniške zbornice (Advokatuur)."
Sworn translators,Zapriseženi prevajalci
Patendivoliniku seadus (Patent Agents Act) § 14 (1),Patendivoliniku seadus (zakon o patentnih zastopnikih) § 14 (1)
Vandetõlgi seadus (Sworn Translators Act) § 3 (2),Vandetõlgi seadus (zakon o zapriseženih prevajalcih) § 3 (2)
A patent agent must be a national of a Member State of the EU with permanent residence in Estonia.,Patentni zastopnik mora biti državljan države članice EU s stalnim prebivališčem v Estoniji.
A sworn translator must be a national of a Member State of the EU.,Zapriseženi prevajalec mora biti državljan države članice EU.
"Ravimiseadus (Medicinal Products Act), RT I 2005, 2, 4; § 25 (3), §30, § 421","Ravimiseadus (zakon o zdravilih), RT I 2005, 2, 4; § 25 (3), §30, § 421"
Mail order sale of medicinal products as well as delivery by post or express service of medicinal products ordered through the Internet is prohibited.,"Prodaja zdravil po pošti ter dostava zdravil, naročenih prek interneta, po pošti ali hitri pošti sta prepovedani."
Establishment authorisation is subject to an economic needs test.,Pred izdajo dovoljenja za ustanovitev se opravi ocena gospodarskih potreb.
Main criteria: density conditions in the area.,Glavno merilo: gostota naseljenosti na območju.
"ISIC rev 3.1 0501, ISIC rev0502, CPC 5133, CPC 5223, CPC 721, CPC 74520","ISIC rev 3.1 0501, ISIC rev0502, CPC 5133, CPC 5223, CPC 721, CPC 74520"
Law of Ship Flag and Ship Registers Act,Zakon o ladijski zastavi in ladijskem registru
The right to fly the national flag of the Republic of Estonia is granted to seagoing vessels owned by Estonian citizens; seagoing vessels in common ownership if the greater share of the vessel is owned by Estonian co-owners.,"Pravica do plovbe pod zastavo Republike Estonije se podeli morskim plovilom, ki so v lasti estonskih državljanov, in morskim plovilom v skupnem lastništvu, če je večji delež plovila v lasti estonskih solastnikov."
Majority ownership of a vessel flying the Estonian flag is reserved to nationals and legal persons from Member States of the EU provided that the person from another Member State of the EU has:,"Večinsko lastništvo plovila, ki pluje pod estonsko zastavo, je pridržano za državljane in pravne osebe iz držav članic EU, če ima oseba iz druge države članice EU:"
"a residence or a permanent business establishment in Estonia, and the ship itself is not deemed to be a business establishment; or","stalno prebivališče ali stalno poslovno enoto v Estoniji, ladja pa ne velja za poslovno enoto ali"
"a permanent representative whose residence or seat is in Estonia and who is responsible for compliance with the technical, social and administrative requirements established with regard to seagoing vessels in Estonia and who directly controls and monitors the use of the ship.","stalnega predstavnika, ki ima stalno prebivališče ali sedež v Estoniji in je odgovoren za skladnost s tehničnimi, socialnimi in upravnimi zahtevami, ki veljajo za morska plovila v Estoniji, ter neposredno nadzoruje in spremlja uporabo ladje."
Reservations applicable in Finland,"Pridržki, ki veljajo na Finskem"
"For the purposes of the reservations of the EU and its Member States, a regional level of government in Finland means the Åland Islands",Za namene pridržkov EU in njenih držav članic regionalna raven upravljanja na Finskem pomeni Ålandske otoke.
"Laki elinkeinon harjoittamisen oikeudesta (Act on the Right to Carry on a Trade) (122/1919), s. 1","Laki elinkeinon harjoittamisen oikeudesta (zakon o pravici do izvajanja trgovinske dejavnosti) (122/1919), s. 1"
Osuuskuntalaki (Co-Operatives Act) 1488/2001,Osuuskuntalaki (zakon o zadrugah) 1488/2001
"Osakeyhtiölaki (Limited Liabilities Company Act) (624/2006), Laki luottolaitostoiminnasta (Act on Credit Institutions) (121/2007)","Osakeyhtiölaki (zakon o družbah z omejeno odgovornostjo) (624/2006), Laki luottolaitostoiminnasta (zakon o kreditnih institucijah) (121/2007)"
"At least one of the partners in a general partnership or of general partners in a limited partnership needs to have residency in the EEA or, if the partner is a juridical person, be domiciled (no branches allowed) in the EEA.","Vsaj eden od partnerjev v družbi z neomejeno odgovornostjo ali od partnerjev z neomejeno odgovornostjo v komanditni družbi mora imeti domicil v EGP ali, če je partner pravna oseba, sedež (podružnice niso dovoljene) v EGP."
Exemptions may be granted by the registration authority.,Organ za registracijo lahko odobri izvzetja.
"To carry on trade as a private entrepreneur, residency in the EEA is required.",Za izvajanje trgovinske dejavnosti kot zasebni podjetnik se zahteva rezidenčnost v EGP.
"If a foreign organisation from a country outside the EEA intends to carry on a business or trade by establishing a branch in Finland, a trade permit is required.","Če namerava tuja organizacija iz države nečlanice EGP izvajati poslovno ali trgovinsko dejavnost z vzpostavitvijo podružnice na Finskem, mora pridobiti dovoljenje."
Residency in the EEA is required for at least one of the ordinary and one of the deputy members of the Board of Directors and for the Managing Director.,Zahteva se stalno prebivališče v EGP za vsaj enega rednega člana in enega namestnika v upravnem odboru ter za izvršnega direktorja.
Company exemptions may be granted by the registration authority.,Organ za registracijo lahko odobri izvzetja za družbe.
Engineering related scientific and technical consulting services,"Storitve na področju znanstvenega in tehničnega svetovanja, povezane z inženirstvom"
Ore mining,Pridobivanje rude
"ISIC rev 3.1 120, CPC 5115, CPC 883, CPC 8675","ISIC rev 3.1120, CPC 5115, CPC 883, CPC 8675"
Kaivoslaki (Mining Act) (621/2011),Kaivoslaki (zakon o rudarstvu) (621/2011)
Ydinenergialaki (Nuclear Energy Act) (990/1987),Ydinenergialaki (zakon o jedrski energiji) (990/1987)
"The exploration for and exploitation of mineral resources are subject to a licensing requirement, which is granted by the Government in relation to the mining of nuclear material.","Za raziskovanje in izkoriščanje mineralnih virov je potrebno dovoljenje, ki ga odobri vlada v zvezi z rudarjenjem jedrskih snovi."
A permit of redemption for a mining area is required from the Government.,Potrebno je dovoljenje vlade za odkup za rudarska območja.
Permission may be granted to a natural person resident in the EEA or a juridical person established in the EEA.,Dovoljenje se lahko izda fizični osebi s stalnim prebivališčem v EGP ali pravni osebi s sedežem v EGP.
An economic needs test may apply.,Možna je ocena gospodarskih potreb.
Animal husbandry,Reja živali
Reindeer husbandry,Reja severnih jelenov
ISIC rev 3.1 014,ISIC rev 3.1014
"Poronhoitolaki (Reindeer Husbandry Act) (848/1990), Chapter 1, s. 4","Poronhoitolaki (zakon o reji severnih jelenov) (848/1990), poglavje 1, s. 4"
Protocol 3 to the Accession Treaty of Finland,Protokol 3 k pogodbi o pristopu Finske
Only nationals of a Member State of the EEA resident in the reindeer herding area may own reindeer and practice reindeer husbandry.,"Severne jelene imajo lahko v lasti in vzrejajo samo državljani držav članic EGP, ki imajo stalno prebivališče na območju reje severnih jelenov."
Exclusive rights may be granted.,Lahko se podelijo izključne pravice.
Tavaramerkkilaki (Trademarks Act) (7/1964),Tavaramerkkilaki (zakon o blagovnih znamkah) (7/1964)
Laki patenttiasiamiehistä (Patent Agent Act) (552/1967),Laki patenttiasiamiehistä (zakon o patentnih zastopnikih) (552/1967)
Laki kasvinjalostajanoikeudesta (Plant Breeder's Right Act) 1279/2009,Laki kasvinjalostajanoikeudesta (zakon o pravicah žlahtniteljev rastlin) 1279/2009
Mallioikeuslaki (Registered Designs Act) 221/1971,Mallioikeuslaki (zakon o registriranih modelih) 221/1971
"A patent agent must be resident in the EEA in order to be recorded in the Patent Agents Register, which is necessary for the practice of the profession.","Patentni zastopnik mora imeti stalno prebivališče v EGP, da se lahko vpiše v register patentnih zastopnikov, kar je potrebno za opravljanje poklica."
"Laki asianajajista (Advocates Act) (496/1958), ss.","Laki asianajajista (zakon o odvetništvu) (496/1958), ss."
"1 and 3, Oikeudenkäymiskaari (4/1734) (Code of Judicial Procedure)","1 in 3, Oikeudenkäymiskaari (4/1734) (zakonik o sodnem postopku)"
"For admission to the Bar, which is required for the use of the Finnish title ‘asianajaja’, EEA residency is required.","Za članstvo v odvetniški zbornici, ki je potrebno, da se lahko uporablja finski naziv „asianajaja“, se zahteva stalno prebivališče v EGP."
"Legal services, including domestic law, may also be provided by non-Bar members.","Pravne storitve, tudi na področju notranjega prava, lahko izvajajo tudi nečlani zbornice."
Tilintarkastuslaki (Auditing Act) (459/2007),Tilintarkastuslaki (zakon o reviziji) (459/2007)
Sectoral laws requiring the use of locally-licensed auditors,"Področni zakoni, ki zahtevajo uporabo revizorjev, ki jim je bilo dovoljenje izdano lokalno"
EEA residency required for at least one of the auditors of a Finnish Limited Liability company and of companies which are under the obligation to carry out an audit.,"Zahteva se rezidenčnost v EGP za vsaj enega od revizorjev finske družbe z omejeno odgovornostjo in družb, ki so dolžne izvesti revizijo."
An auditor must be a locally-licensed auditor or a locally-licensed audit firm.,Revizor mora biti revizor z lokalno izdanim dovoljenjem ali revizijska družba z lokalno izdanim dovoljenjem.
Translation services,Prevajalske storitve
Part of CPC 87905,Del CPC 87905
"Laki auktorisoiduista kääntäjistä (Act on Authorised Translators) (1231/2007), s. 2(1))","Laki auktorisoiduista kääntäjistä (zakon o akreditiranih prevajalcih) (1231/2007), s. 2(1))"
Residency in EEA is required for certified translators.,Za akreditirane prevajalce se zahteva stalno prebivališče v EGP.
Other services,Druge storitve
Part of CPC 9703,Del CPC 9703
Hautaustoimilaki (Act on Burial Service) (457/2003),Hautaustoimilaki (zakon o pogrebnih storitvah) (457/2003)
"Cremation services and operation/maintenance of cemeteries and graveyards can only be performed by the state, municipalities, parishes, religious communities or non-profit foundations or societies.","Storitve upepelitve in upravljanja/vzdrževanja pokopališč lahko izvajajo samo država, občine, župnije, verske skupnosti ter nepridobitne fundacije ali društva."
"ISIC rev 3.1 0501, ISIC rev 3.1 0502, CPC 5133, CPC 5223, CPC 721, CPC 74520, CPC 74540, CPC 74590, CPC 882","ISIC rev 3.1 0501, ISIC rev 3.1 0502, CPC 5133, CPC 5223, CPC 721, CPC 74520, CPC 74540, CPC 74590, CPC 882"
Merilaki (Maritime Act) 674/1994,Merilaki (zakon o pomorstvu) 674/1994
Foreign investors must have their principal office in Finland in order to register a vessel on the national shipping register.,"Tuji vlagatelji morajo imeti glavni sedež na Finskem, da lahko vpišejo plovilo v nacionalni register."
A ship can be considered Finnish and has the right to fly the Finnish flag only where a Finnish national or company owns more than sixty per cent of the vessel.,"Ladja velja za finsko in lahko pluje pod finsko zastavo samo, če je več kot 60 % plovila v lasti finskega državljana ali družbe."
Merilaki (Maritime Act) (674/1994),Merilaki (pomorski zakonik) 674/1994
"Laki elinkeinon harjoittamisen oikeudesta (Act on the Right to Carry on a Trade) (122/1919), s. 4","Laki elinkeinon harjoittamisen oikeudesta (zakon o pravici do izvajanja trgovinske dejavnosti) (122/1919), s. 4"
"Supporting services for maritime transport when provided in Finnish maritime waters or internal waterways are reserved to fleets operating under the national, EU or Norwegian flag.","Podporne storitve v pomorskem prevozu, ki se izvajajo v finskih morskih vodah ali celinskih plovnih poteh, so pridržane za flote, ki plujejo pod nacionalno ali norveško zastavo ali zastavo EU."
Reservations applicable in France,"Pridržki, ki veljajo v Franciji"
Agriculture and hunting,Kmetijstvo in lov
"ISIC rev 3.1 011, ISIC rev 3.1 012, ISIC rev 3.1 013, ISIC rev 3.1 014, ISIC rev 3.1 015","ISIC rev 3.1011, ISIC rev 3.1012, ISIC rev 3.1013, ISIC rev 3.1014, ISIC rev 3.1015"
Code rural et de la pêche maritime: art. R331-1 on installation and art. L. 529-2 on agricultural co-operatives,Code rural et de la pêche maritime: čl. R331-1 o ustanavljanju in čl. L. 529-2 o kmetijskih zadrugah
The establishment of farms and agricultural co-operatives by non-EU investors is subject to authorisation.,Vlagatelji iz držav zunaj EU morajo za ustanavljanje kmetij in kmetijskih zadrug pridobiti dovoljenje.
Prior authorisation is required in order to become a member or act as a director of an agricultural co-operative.,Za včlanitev v kmetijsko zadrugo ali opravljanje vloge direktorja kmetijske zadruge je potrebno predhodno dovoljenje.
Fishing and aquaculture,Ribolov in akvakultura
"ISIC rev 3.1 050, CPC 882","ISIC rev 3.1050, CPC 882"
A French vessel flying the French flag may be issued a fishing authorisation or may be allowed to fish on the basis of national quotas only when a real economic link on the territory of the France is established and the vessel is directed and controlled from a permanent establishment located on the territory of France.,"Francoskemu plovilu, ki pluje pod francosko zastavo, se lahko izda dovoljenje za ribolov ali se mu dovoli ribolov na podlagi nacionalnih kvot samo, če je vzpostavljena resnična gospodarska povezava s francoskim ozemljem, plovilo pa upravlja in obvladuje stalna poslovna enota, ki se nahaja na ozemlju Francije."
"Loi du 31 décembre 1971, art. 56","Loi du 31 décembre 1971, art. 56"
"Loi 90-1259 du 31 décembre 1990, art. 7","Loi 90- 1259 du 31 décembre 1990, art. 7"
"Full admission to the Bar is required for the practice of legal services in respect of French law, including representation before courts.","Za opravljanje pravnih storitev na področju francoskega prava, vključno z zastopanjem pred sodišči, se zahteva polno članstvo v odvetniški zbornici."
"Only nationals of a Member State of the EEA or ofthe Swiss Confederation may be admitted to the Bar, and are thus entitled to provide legal services in respect of French law.","V odvetniško zbornico se lahko včlanijo le državljani držav članic EGP ali Švicarske konfederacije, ki lahko tako izvajajo pravne storitve na področju francoskega prava."
"Some types of legal form may be reserved exclusively to lawyers admitted to the Bar, also on a non-discriminatory basis. Respresentation before the ‘Cour de Cassation’ and ‘Conseil d'Etat’ is subject to quotas.","Nekatere vrste pravnih oblik so lahko pridržane izključno za odvetnike, ki so člani odvetniške zbornice, prav tako na nediskriminatorni osnovi."
"In a law firm providing services in respect of French or EU law, at least 75 per cent of the partners holding 75 per cent of the shares shall be lawyers fully admitted to the Bar in France.","Za zastopanje pred „Cour de Cassation“ in „Conseil d'Etat“ veljajo kvote.V odvetniški pisarni, ki izvaja storitve na področju francoskega prava ali prava EU, mora biti najmanj 75 % partnerjev, ki imajo v lasti 75 % delnic, odvetnikov, ki so polnopravni člani odvetniške zbornice v Franciji."
"CPC 86211, CPC 86212, CPC 86213, CPC 86219, CPC 86220, CPC 863","CPC 86211, CPC 86212, CPC 86213, CPC 86219, CPC 86220, CPC 863"
"3, 7, 26, 27","3, 7, 26,27"
"Provision of accounting and bookkeeping services by a foreign service supplier is conditional on a decision of the Minister of Economics, Finance and Industry, in agreement with the Minister of Foreign Affairs.","Tuji ponudniki storitev lahko izvajajo računovodske in knjigovodske storitve, če tako odloči minister za gospodarstvo, finance in industrijo v soglasju z ministrom za zunanje zadeve."
"For accounting and bookkeeping services: provision through SEL (anonyme, à responsabilité limitée ou en commandite par actions), AGC (Association de gestion et comptabilité) or SCP (Société civile professionnelle) only.","Računovodske in knjigovodske storitve se lahko izvajajo samo prek SEL (anonyme, à responsabilité limitée ou en commandite par actions), AGC (Association de gestion et comptabilité) ali SCP (Société civile professionnelle)."
"For taxation advisory services, provision through SEL (anonyme, à responsabilité limitée ou en commandite par actions) or SCP (Société civile professionnelle) only.","Storitve davčnega svetovanja se lahko izvajajo samo prek SEL (anonyme, à responsabilité limitée ou en commandite par actions) ali SCP (Société civile professionnelle)."
"For statutory audits: provision through any company form except SNC (Société en nom collectif), SCS (Société en commandite simple).","Obvezne revizije se lahko izvajajo prek kakršne koli družbe, razen SNC (Société en nom collectif) in SCS (Société en commandite simple)."
An architect may only establish in France in order to provide architectural services using one of the following legal forms (on a non-discriminatory basis):,Arhitekt lahko v Franciji za izvajanje arhitekturnih storitev ustanovi samo eno od naslednjih pravnih oblik (na nediskriminatorni osnovi):
"SA et SARL (sociétés anonymes, à responsabilité limitée), EURL (Entreprise unipersonnelle à responsabilité limitée), SCA (en commandite par actions), SCOP (Société coopérative et participative), SELARL (société d'exercice libéral à responsabilité limitée), SELAFA (société d'exercice libéral à forme anonyme), SELAS (société d'exercice libéral par actions simplifiée) or SAS (Société par actions simplifiée), or as individual or as a partner in an architectural firm.","SA in SARL (sociétés anonymes, à responsabilité limitée), EURL (Entreprise unipersonnelle à responsabilité limitée), SCA (en commandite par actions), SCOP (Société coopérative et participative), SELARL (société d'exercice libéral à responsabilité limitée), SELAFA (société d'exercice libéral à forme anonyme), SELAS (société d'exercice libéral par actions simplifiée) ali SAS (Société par actions simplifiée) ali deluje kot posameznik ali partner v arhitekturnem biroju."
Nationality condition limited to nationals of a Member State of the EU and the EEA.,Zahteva se državljanstvo države članice EU ali EGP.
Insofar as Canada allows French citizens to provide veterinary services then France will allow Canadian service suppliers to provide veterinary services under the same conditions.,"Če Kanada francoskim državljanom dovoli, da izvajajo veterinarske storitve, Francija kanadskim ponudnikom storitev dovoli, da izvajajo veterinarske storitve pod enakimi pogoji."
The legal forms available to a company providing veterinary services are limited to three types of companies (SEP (Société en participation); SCP (Société civile professionnelle); and SEL (Société d'exercice liberal).,"Pravne oblike družb, ki so na voljo za izvajanje veterinarskih storitev, so omejene na tri vrste (SEP (Société en participation); SCP (Société civile professionnelle) in SEL (Société d'exercice liberal)."
"Loi 90-1258 relative à l'exercice sous forme de société des professions libérales, modifiée par les lois 2001-1168 du 12 décembre 2001 et 2008-776 du 4 août 2008","Loi 90-1258 relative à l'exercice sous forme de société des professions libérales, modifiée par les lois 2001-1168 du 12 décembre 2001 et 2008-776 du 4 août 2008"
"For surveying, access through a SEL (anonyme, à responsabilité limitée ou en commandite par actions), SCP (Société civile professionnelle), SA and SARL (sociétés anonymes, à responsabilité limitée) only.","Za geodetske meritve se zahteva SEL (anonyme, à responsabilité limitée ou en commandite par actions), SCP (Société civile professionnelle), SA ali SARL (sociétés anonymes, à responsabilité limitée)."
Foreign investors are required to have a specific authorisation for exploration and prospecting services.,Tuji vlagatelji morajo imeti za izvajanje storitev raziskovanja in iskanja posebno dovoljenje.
Retail,Prodaja na drobno
The authorisation for large department stores is subject to an Economic Needs Test.,Pred izdajo dovoljenja za večje veleblagovnice se opravi ocena gospodarskih potreb.
"Main criteria: number of and impact on existing stores, population density, geographic spread, impact on traffic conditions and creation of new employment.","Glavna merila: število obstoječih trgovin in učinek nanje, gostota prebivalstva, geografska razpršenost, vpliv na prometne razmere in ustvarjanje novih delovnih mest."
Distribution of tobacco,Distribucija tobačnih izdelkov
"Part of CPC 6222, part of CPC 6310","Del CPC 6222, del CPC 6310"
"Code général des impôts, art. 568 et articles 276-279 de l'annexe 2 de ce code","Code général des impôts, art. 568 et articles 276-279 de l'annexe 2 de ce code"
State monopoly on wholesale and retail sales of tobacco.,Država ima monopol nad prodajo tobačnih izdelkov na debelo in drobno.
Nationality condition for tobacconists (buraliste).,Za prodajalce tobačnih izdelkov (buraliste) se zahteva državljanstvo.
"Loi 90-1258 relative à l'exercice sous forme de société des professions libérales, modifiée par les lois 2001-1168 du 12 décembre 2001 et 2008-776 du 4 août 2008 (Law 90-1258 on the exercise of liberal professions in the form of a company )","Loi 90-1258 relative à l'exercice sous forme de société des professions libérales, modifiée par les lois 2001-1168 du 12 décembre 2001 et 2008-776 du 4 août 2008 (zakon 90-1258 o opravljanju svobodnih poklicev v pravni obliki družbe)"
EEA or Swiss nationality is required in order to operate a pharmacy.,Za upravljanje lekarne se zahteva državljanstvo EGP ali Švicarske konfederacije.
Foreign pharmacists may be permitted to establish within annually established quotas.,Tujim farmacevtom se lahko dovoli ustanovitev družbe v okviru letno določenih kvot.
"Commercial presence must take one of the legal forms which are allowed under national law on a non-discriminatory basis: anonyme, à responsabilité limitée ou en commandite par actions (SEL), société en nom collectif (SNC), société de participations financières de profession libérale de pharmaciens d'officine and SARL only","Potrebna je tržna prisotnost v eni od pravnih oblik, ki so dovoljene v skladu z nacionalnim pravom na nediskriminatorni osnovi: izključno anonyme, à responsabilité limitée ou en commandite par actions (SEL), société en nom collectif (SNC), société de participations financières de profession libérale de pharmaciens d'officine in SARL."
"Privately funded primary, secondary, and higher education services","Zasebno financirano osnovnošolsko, srednješolsko in visokošolsko izobraževanje"
"L 444-5, L 914-4, L 441-8, L 731-8, L 731-1 to 8","L 444-5, L 914-4, L 441-8, L 731-8, L 731-1 to 8"
Nationality of a Member State of the EU is required in order to teach in a privately funded educational institution.,Za poučevanje v zasebno financiranih izobraževalnih ustanovah se zahteva državljanstvo države članice EU.
"However, nationals of Canada may obtain an authorisation from the relevant competent authorities in order to teach in primary, secondary and higher level educational institutions.",Vendar lahko državljani Kanade pri ustreznih pristojnih organih pridobijo dovoljenje za poučevanje v osnovnih in srednjih šolah ter visokošolskih ustanovah.
"Nationals of Canada may also obtain an authorisation from the relevant competent authorities in order to establish and operate or manage primary, secondary or higher level educational institutions.",Državljani Kanade lahko pri ustreznih pristojnih organih prav tako pridobijo dovoljenje za ustanovitev in upravljanje osnovnih in srednjih šol ter visokošolskih institucij.
Such authorisation is granted on a discretionary basis.,Tako dovoljenje se izda na podlagi diskrecijske odločitve.
"Loi 90-1258 relative à l'exercice sous forme de société des professions libérals, modifiée par les lois 2001-1168 du 12 décembre 2001 et 2008-776 du 4 août 2008 et la loi 66-879 du 29 novembre 1966 (SCP)","Loi 90-1258 relative à l'exercice sous forme de société des professions libérals, modifiée par les lois 2001-1168 du 12 décembre 2001 et 2008-776 du 4 août 2008 et la loi 66-879 du 29 novembre 1966 (SCP)"
"Code de la santé publique, art. L6122-1, L6122-2 (Ordonnance 2010-177 du 23 février 2010)","Code de la santé publique, art. L6122-1, L6122-2 (Ordonnance2010-177 du 23 février 2010)"
"While other types of legal form are available for EU investors, foreign investors only have access to the legal forms of ‘société d'exercice liberal’ and ‘société civile professionnelle’.","Vlagateljem iz EU so na voljo tudi druge pravne oblike, tuji vlagatelji pa imajo dostop le do pravnih oblik „société d'exercice liberal“ in „société civile professionnelle“."
"For medical, dental and midwives services, French nationality is required.","Za izvajanje zdravstvenih, zobozdravstvenih in babiških storitev se zahteva francosko državljanstvo."
"However, access by foreigners is possible within annually established quotas.",Vendar imajo tujci dostop v okviru letno določenih kvot.
"For medical, dental and midwives services and services by nurses, provision through anonyme, à responsabilité limitée ou en commandite par actions (SEL) or SCP only.","Zdravstvene, zobozdravstvene in babiške storitve ter storitve medicinskih sester se lahko izvajajo samo prek oblik anonyme, à responsabilité limitée ou en commandite par actions (SEL) ali SCP."
"For hospital and ambulance services, residential health facilities (other than hospital services) and social services, an authorisation is necessary in order to exercise management functions.","Pri bolnišničnih storitvah in prevozu z reševalnimi vozili, storitvah zdravstvenih nastanitvenih ustanov (razen bolnišnic) in socialnih storitvah se za vodstvene funkcije zahteva dovoljenje."
The authorisation process takes into account the availability of local managers.,Pri izdaji dovoljenja se upošteva razpoložljivost domačih vodstvenih delavcev.
"Foreign investors that are not nationals of a Member State of the EU or not incorporated or having their principal office in the EU or the EEA, cannot own 50 per cent or more of a French flag seagoing vessel.","Tuji vlagatelji, ki niso državljani države članice EU ali pravne osebe ali nimajo glavnega sedeža v EU ali EGP, ne morejo imeti v lasti 50 % ali več morskega plovila, ki pluje pod francosko zastavo."
The above reservation does not apply to ships that would satisfy the French flag ownership requirements after the exercise of a lease-option.,"Zgornji pridržek ne velja za ladje, ki bi po zakupu izpolnjevale zahteve glede lastništva v zvezi s francosko zastavo."
It also does not apply to a ship that is bareboat chartered to a charterer that would satisfy the ownership requirements and is actually making use of the ship.,"Prav tako ne velja za ladje, ki jo brez posadke zakupi zakupnik, ki bi izpolnjeval zahteve glede lastništva in dejansko uporablja ladjo."
Reservations applicable in Germany,"Pridržki, ki veljajo v Nemčiji"
Manufacturing,Proizvodnja
"Newspapers, journals and periodicals, appearing at least four times a week and newspapers, journals and periodicals, appearing less than four times a week","Dnevniki, časopisi in revije, ki izhajajo vsaj štirikrat tedensko, ter dnevniki, časopisi in revije, ki izhajajo manj kot štirikrat tedensko."
"ISIC rev 3.1 223, ISIC rev 3.1 224","ISIC rev 3.1223, ISIC rev 3.1224"
National — Regional (sub-federal),Nacionalna – regionalna (podzvezna)
S. 427,S. 427
"§ 9 Abs. 1 Nr. 1 Gesetz über die Presse Baden-Württemberg (LPG BW) v. 14 Jan. 1964, GBl.","§ 9 Abs. 1 Nr. 1 Gesetz über die Presse Baden-Württemberg (LPG BW) v. 14 Jan. 1964, GBl."
Dez.,Dez.
S. 809,S. 809
SH S. 266,SH S. 266
"§ 7 Abs. 2 Landespressegesetz für das Land Mecklenburg-Vorpommern (LPrG M-V) v. 6 Juni 1993, GVOBl.","§ 7 Abs. 2 Landespressegesetz für das Land Mecklenburg-Vorpommern (LPrG M-V) v. 6 Juni 1993, GVOBl."
"M-V 1993, S. 541","M-V 1993, S. 541"
§ 8 Abs. 1 Nr. 1 Pressegesetz für das Land Sachsen-Anhalt in der Neufassung vom 2.5.2013 (GVBl. LSA S. 198),§ 8 Abs. 1 Nr. 1 Pressegesetz für das Land Sachsen-Anhalt in der Neufassung vom 2.5.2013 (GVBl. LSA S. 198)
"§ 7 Abs. 2 Berliner Pressegesetz (BlnPrG) v. 15 Juni 1965, GVBl.","§ 7 Abs. 2 Berliner Pressegesetz (BlnPrG) v. 15 Juni 1965, GVBl."
S. 744 zuletzt geändert durch Gesetz v. 18.,S. 744 zuletzt geändert durch Gesetz v. 18.
"I/93, S. 162, zuletzt geändert durch Gesetz v. 21.","I/93, S. 162, zuletzt geändert durch Gesetz v. 21."
"I/12, S. 1","I/12, S. 1"
"1965, S. 63; zuletzt geändert durch Nr. 2.1 i.V.m.","1965, S. 63; zuletzt geändert durch Nr. 2.1 i.V.m."
S. 622,S. 622
1991 S. 271 in der Fassung v. 16.,1991 S. 271 in der Fassung v. 16.
§ 9 Abs. 1 Nr. 1 Hamburgisches Pressegesetz v. 29.,§ 9 Abs.
"Januar 1965, HmbGVBl., S. 15, in der Fassung v. 15.","1 Nr. 1Hamburgisches Pressegesetz v. 29. Januar 1965, HmbGVBl., S. 15, in der Fassung v. 15."
"S. 444, 447","S. 444, 447"
S. 438,S. 438
S.9 zuletzt geändert durch Artikel 2 des Gesetzes vom 11.10.2010 (Nds. GVBl. S. 480),S.9 zuletzt geändert durch Artikel 2 des Gesetzes vom 11.10.2010 (Nds. GVBl. S. 480)
"Februar 2002 (Amtsbl. S. 498), zuletzt geändert durch Art. 1 ÄndG vom 22.4.2013 (Amtsbl. I S. 111)","1 Nr. 1 Saarländisches Mediengesetz (SMG) vom 27. Februar 2002 (Amtsbl. S. 498), zuletzt geändert durch Art. 1 ÄndG vom 22. 4. 2013 (Amtsbl. I S. 111)"
